Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,IDFANTASYPOSITION,IDFANTASYPLAYER,CREATED,CREATED_BY,UPDATED,UPDATED_BY
651,1,9,9,14,7,2022-11-06T18:39:32,JORTRI,2022-11-06T18:39:32,JORTRI
652,1,9,10,8,1,2022-11-06T18:40:11,JORTRI,2022-11-06T18:40:11,JORTRI
653,1,9,10,9,5,2022-11-06T18:40:11,JORTRI,2022-11-06T18:40:11,JORTRI
654,1,9,10,10,6,2022-11-06T18:40:11,JORTRI,2022-11-06T18:40:11,JORTRI
655,1,9,10,11,12,2022-11-06T18:40:11,JORTRI,2022-11-06T18:40:11,JORTRI
656,1,9,10,12,11,2022-11-06T18:40:11,JORTRI,2022-11-06T18:40:11,JORTRI
657,1,9,10,13,14,2022-11-06T18:40:11,JORTRI,2022-11-06T18:40:11,JORTRI
658,1,9,10,14,7,2022-11-06T18:40:11,JORTRI,2022-11-06T18:40:11,JORTRI
659,1,10,1,8,4,2022-11-10T07:32:15,JORTRI,2022-11-10T07:32:15,JORTRI
660,1,10,2,8,4,2022-11-10T07:32:59,JORTRI,2022-11-10T07:32:59,JORTRI
661,1,10,3,8,4,2022-11-10T07:32:59,JORTRI,2022-11-10T07:32:59,JORTRI
662,1,10,4,8,4,2022-11-10T07:32:59,JORTRI,2022-11-10T07:32:59,JORTRI
663,1,10,5,8,4,2022-11-10T07:32:59,JORTRI,2022-11-10T07:32:59,JORTRI
664,1,10,6,8,4,2022-11-10T07:32:59,JORTRI,2022-11-10T07:32:59,JORTRI
665,1,10,7,8,4,2022-11-10T07:32:59,JORTRI,2022-11-10T07:32:59,JORTRI
666,1,10,8,8,4,2022-11-10T07:32:59,JORTRI,2022-11-10T07:32:59,JORTRI
667,1,10,9,8,4,2022-11-10T07:32:59,JORTRI,2022-11-10T07:32:59,JORTRI
668,1,10,10,8,4,2022-11-10T07:32:59,JORTRI,2022-11-10T07:32:59,JORTRI
669,1,10,4,14,8,2022-11-10T07:35:33,JORTRI,2022-11-10T07:35:33,JORTRI
670,1,10,6,14,8,2022-11-10T07:37:13,JORTRI,2022-11-10T07:37:13,JORTRI
671,1,10,7,14,8,2022-11-10T07:38:46,JORTRI,2022-11-10T07:38:46,JORTRI
672,1,10,8,14,8,2022-11-10T07:39:46,JORTRI,2022-11-10T07:39:46,JORTRI
673,1,10,9,14,8,2022-11-10T07:49:03,JORTRI,2022-11-10T07:49:03,JORTRI
674,1,10,10,14,8,2022-11-10T07:51:00,JORTRI,2022-11-10T07:51:00,JORTRI
679,1,10,3,9,10,2022-11-13T09:44:31,JORTRI,2022-11-13T09:44:31,JORTRI
680,1,10,3,10,6,2022-11-13T09:44:31,JORTRI,2022-11-13T09:44:31,JORTRI
681,1,10,3,11,12,2022-11-13T00:00:00,JORTRI,2022-11-13T09:49:27,JORTRI
682,1,10,3,12,11,2022-11-13T00:00:00,JORTRI,2022-11-13T09:49:27,JORTRI
683,1,10,3,14,5,2022-11-13T09:45:44,JORTRI,2022-11-13T09:45:44,JORTRI
684,1,10,3,13,14,2022-11-13T09:45:44,JORTRI,2022-11-13T09:45:44,JORTRI
685,1,10,1,9,10,2022-11-13T09:47:08,JORTRI,2022-11-13T09:47:08,JORTRI
686,1,10,1,10,6,2022-11-13T09:47:08,JORTRI,2022-11-13T09:47:08,JORTRI
687,1,10,1,11,11,2022-11-13T09:47:08,JORTRI,2022-11-13T09:47:08,JORTRI
688,1,10,1,12,12,2022-11-13T09:47:08,JORTRI,2022-11-13T09:47:08,JORTRI
148,1,2,9,8,21,2022-11-06T14:11:37,JORTRI,2022-11-06T14:11:37,JORTRI
28,1,1,2,8,21,2022-11-06T11:17:05,JORTRI,2022-11-06T11:17:05,JORTRI
31,1,1,2,11,12,2022-11-06T11:19:28,JORTRI,2022-11-06T11:19:28,JORTRI
32,1,1,2,12,13,2022-11-06T11:19:28,JORTRI,2022-11-06T11:19:28,JORTRI
33,1,1,2,13,15,2022-11-06T11:19:28,JORTRI,2022-11-06T11:19:28,JORTRI
34,1,1,2,14,11,2022-11-06T11:19:28,JORTRI,2022-11-06T11:19:28,JORTRI
38,1,1,3,11,12,2022-11-06T11:22:03,JORTRI,2022-11-06T11:22:03,JORTRI
39,1,1,3,12,13,2022-11-06T11:22:03,JORTRI,2022-11-06T11:22:03,JORTRI
40,1,1,3,13,15,2022-11-06T11:22:03,JORTRI,2022-11-06T11:22:03,JORTRI
41,1,1,3,14,11,2022-11-06T11:22:03,JORTRI,2022-11-06T11:22:03,JORTRI
56,1,1,6,8,21,2022-11-06T11:40:51,JORTRI,2022-11-06T11:40:51,JORTRI
57,1,1,6,9,5,2022-11-06T11:40:51,JORTRI,2022-11-06T11:40:51,JORTRI
58,1,1,6,10,9,2022-11-06T11:40:51,JORTRI,2022-11-06T11:40:51,JORTRI
59,1,1,6,11,12,2022-11-06T11:40:51,JORTRI,2022-11-06T11:40:51,JORTRI
60,1,1,6,12,13,2022-11-06T11:40:51,JORTRI,2022-11-06T11:40:51,JORTRI
61,1,1,6,13,15,2022-11-06T11:40:51,JORTRI,2022-11-06T11:40:51,JORTRI
62,1,1,6,14,11,2022-11-06T11:40:51,JORTRI,2022-11-06T11:40:51,JORTRI
63,1,1,7,8,21,2022-11-06T11:42:01,JORTRI,2022-11-06T11:42:01,JORTRI
64,1,1,7,9,5,2022-11-06T11:42:01,JORTRI,2022-11-06T11:42:01,JORTRI
65,1,1,7,10,9,2022-11-06T11:42:01,JORTRI,2022-11-06T11:42:01,JORTRI
66,1,1,7,11,12,2022-11-06T11:42:01,JORTRI,2022-11-06T11:42:01,JORTRI
