Id,IDFANTASYSEASON,WEEK,IDFANTASYSUPPLIER,WINPOINT,CREATED,CREATED_BY,UPDATED,UPDATED_BY
77,1,5,4,0,2022-11-06T17:49:37,JORTRI,2022-11-06T17:49:37,JORTRI
78,1,5,5,10,2022-11-06T17:49:47,JORTRI,2022-11-06T17:49:47,JORTRI
79,1,5,6,0,2022-11-06T17:49:54,JORTRI,2022-11-06T17:49:54,JORTRI
80,1,5,7,5,2022-11-06T17:50:01,JORTRI,2022-11-06T17:50:01,JORTRI
81,1,5,8,0,2022-11-06T17:50:11,JORTRI,2022-11-06T17:50:11,JORTRI
82,1,5,9,10,2022-11-06T17:50:17,JORTRI,2022-11-06T17:50:17,JORTRI
83,1,5,10,5,2022-11-06T17:50:24,JORTRI,2022-11-06T17:50:24,JORTRI
84,1,6,1,10,2022-11-06T18:01:43,JORTRI,2022-11-06T18:01:43,JORTRI
85,1,6,2,10,2022-11-06T18:01:46,JORTRI,2022-11-06T18:01:46,JORTRI
87,1,6,4,5,2022-11-06T18:01:55,JORTRI,2022-11-06T18:01:55,JORTRI
88,1,6,5,10,2022-11-06T18:02:02,JORTRI,2022-11-06T18:02:02,JORTRI
90,1,6,7,10,2022-11-06T18:02:10,JORTRI,2022-11-06T18:02:10,JORTRI
91,1,6,8,10,2022-11-06T18:02:14,JORTRI,2022-11-06T18:02:14,JORTRI
93,1,6,10,10,2022-11-06T18:02:21,JORTRI,2022-11-06T18:02:21,JORTRI
106,1,8,3,10,2022-11-06T18:31:27,JORTRI,2022-11-06T18:31:27,JORTRI
109,1,8,6,10,2022-11-06T18:31:43,JORTRI,2022-11-06T18:31:43,JORTRI
112,1,8,9,5,2022-11-06T18:32:02,JORTRI,2022-11-06T18:32:02,JORTRI
114,1,9,4,10,2022-11-07T09:44:14,JORTRI,2022-11-07T09:44:14,JORTRI
145,1,11,1,10,2022-11-21T13:39:41,JORTRI,2022-11-21T13:39:41,JORTRI
148,1,11,6,10,2022-11-21T13:40:32,JORTRI,2022-11-21T13:40:32,JORTRI
151,1,11,7,5,2022-11-21T13:41:27,JORTRI,2022-11-21T13:41:27,JORTRI
204,1,14,9,10,2022-12-13T12:29:04,JORTRI,2022-12-13T12:29:04,JORTRI
205,1,14,1,5,2022-12-13T12:29:24,JORTRI,2022-12-13T12:29:24,JORTRI
206,1,14,2,5,2022-12-13T12:29:28,JORTRI,2022-12-13T12:29:28,JORTRI
208,1,14,5,5,2022-12-13T12:29:37,JORTRI,2022-12-13T12:29:37,JORTRI
209,1,14,6,5,2022-12-13T12:29:40,JORTRI,2022-12-13T12:29:40,JORTRI
211,1,14,8,5,2022-12-13T12:29:48,JORTRI,2022-12-13T12:29:48,JORTRI
212,1,14,10,5,2022-12-13T12:29:53,JORTRI,2022-12-13T12:29:53,JORTRI
224,1,15,6,10,2022-12-20T14:08:37,JORTRI,2022-12-20T14:08:37,JORTRI
226,1,15,10,0,2022-12-20T14:09:38,JORTRI,2022-12-20T14:09:38,JORTRI
229,1,15,8,0,2022-12-20T14:11:03,JORTRI,2022-12-20T14:11:03,JORTRI
232,1,15,3,5,2022-12-20T14:11:30,JORTRI,2022-12-20T14:11:30,JORTRI
264,1,17,4,10,2023-01-06T10:14:05,JORTRI,2023-01-06T10:14:05,JORTRI
268,1,17,3,0,2023-01-06T10:15:57,JORTRI,2023-01-06T10:15:57,JORTRI
271,1,17,7,0,2023-01-06T10:16:08,JORTRI,2023-01-06T10:16:08,JORTRI
