Id,IDFANTASYSEASON,WEEK,IDFANTASYPLAYER,FANTASYPOINTS,CREATED,CREATED_BY,UPDATED,UPDATED_BY
95,1,8,5,19.7,2022-11-06T18:30:07,JORTRI,2022-11-06T18:30:07,JORTRI
96,1,8,15,11,2022-11-06T18:30:07,JORTRI,2022-11-06T18:30:07,JORTRI
99,1,2,1,16.56,2022-11-07T09:30:45,JORTRI,2022-11-07T09:30:45,JORTRI
100,1,2,26,8.2,2022-11-07T09:30:45,JORTRI,2022-11-07T09:30:45,JORTRI
101,1,2,25,.6,2022-11-07T09:30:45,JORTRI,2022-11-07T09:30:45,JORTRI
102,1,3,1,23,2022-11-07T09:32:09,JORTRI,2022-11-07T09:32:09,JORTRI
103,1,3,26,10.1,2022-11-07T09:32:09,JORTRI,2022-11-07T09:32:09,JORTRI
104,1,3,24,12.6,2022-11-07T09:32:09,JORTRI,2022-11-07T09:32:09,JORTRI
105,1,3,25,4.3,2022-11-07T09:32:09,JORTRI,2022-11-07T09:32:09,JORTRI
106,1,4,1,20.08,2022-11-07T09:33:35,JORTRI,2022-11-07T09:33:35,JORTRI
107,1,4,26,1.3,2022-11-07T09:33:35,JORTRI,2022-11-07T09:33:35,JORTRI
108,1,4,7,12.9,2022-11-07T09:33:35,JORTRI,2022-11-07T09:33:35,JORTRI
109,1,4,25,13.4,2022-11-07T09:33:35,JORTRI,2022-11-07T09:33:35,JORTRI
127,1,8,9,11.96,2022-11-07T09:39:13,JORTRI,2022-11-07T09:39:13,JORTRI
128,1,8,8,0,2022-11-07T09:39:13,JORTRI,2022-11-07T09:39:13,JORTRI
129,1,8,13,0,2022-11-07T09:39:34,JORTRI,2022-11-07T09:39:34,JORTRI
130,1,8,28,0,2022-11-07T09:40:39,JORTRI,2022-11-07T09:40:39,JORTRI
132,1,9,5,6.5,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
133,1,9,6,26.6,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
134,1,9,12,15.9,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
135,1,9,11,19.5,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
136,1,9,14,15,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
137,1,9,7,16,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
138,1,9,4,42.72,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
139,1,9,10,0,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
140,1,9,9,0,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
141,1,9,13,0,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
142,1,9,22,0,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
143,1,9,8,18.3,2022-11-07T09:43:29,JORTRI,2022-11-07T09:43:29,JORTRI
249,1,15,22,0,2022-12-20T14:05:05,JORTRI,2022-12-20T14:05:05,JORTRI
250,1,15,13,10.7,2022-12-20T14:05:22,JORTRI,2022-12-20T14:05:22,JORTRI
251,1,15,4,23.58,2022-12-20T14:05:40,JORTRI,2022-12-20T14:05:40,JORTRI
252,1,15,6,12.7,2022-12-20T14:05:57,JORTRI,2022-12-20T14:05:57,JORTRI
254,1,15,8,12.2,2022-12-20T14:06:43,JORTRI,2022-12-20T14:06:43,JORTRI
284,1,17,4,16.2,2023-01-06T10:11:06,JORTRI,2023-01-06T10:11:06,JORTRI
285,1,17,5,13.2,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
286,1,17,10,7.3,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
287,1,17,13,16.4,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
288,1,17,12,19.7,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
289,1,17,22,6.6,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
290,1,17,69,16.2,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
291,1,17,49,23.7,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
292,1,17,1,6.28,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
293,1,17,11,8.2,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
294,1,17,9,20.3,2023-01-06T10:13:34,JORTRI,2023-01-06T10:13:34,JORTRI
60,1,5,21,14.76,2022-11-06T17:45:41,JORTRI,2022-11-06T17:45:41,JORTRI
78,1,7,1,39.24,2022-11-06T18:13:48,JORTRI,2022-11-06T18:13:48,JORTRI
79,1,7,10,17.5,2022-11-06T18:14:54,JORTRI,2022-11-06T18:14:54,JORTRI
